Position,Orientation,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InstruccionesGabor.started,InstruccionesGabor.stopped,respinstrucciones.keys,respinstrucciones.rt,respinstrucciones.started,respinstrucciones.stopped,grating.started,grating.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,13.491765300000225,None,space,2.003375000000233,13.491765300000225,None,,,anto,001,2021_Feb_18_1038,PruebaGabor1,2020.2.10,60.19125168309263,
"[-110, 0]",15,0,0,0,6,,,,,,,16.127929100000074,None,anto,001,2021_Feb_18_1038,PruebaGabor1,2020.2.10,60.19125168309263,
"[0, 0]",90,0,1,1,2,,,,,,,17.580781599999682,None,anto,001,2021_Feb_18_1038,PruebaGabor1,2020.2.10,60.19125168309263,
"[50, 0]",135,0,2,2,3,,,,,,,19.011819999999716,None,anto,001,2021_Feb_18_1038,PruebaGabor1,2020.2.10,60.19125168309263,
"[-50, 0]",45,0,3,3,1,,,,,,,20.510265099999742,None,anto,001,2021_Feb_18_1038,PruebaGabor1,2020.2.10,60.19125168309263,
"[150, 0]",0,0,4,4,0,,,,,,,22.007277699999577,None,anto,001,2021_Feb_18_1038,PruebaGabor1,2020.2.10,60.19125168309263,
"[130, 0]",110,0,5,5,9,,,,,,,23.504993800000193,None,anto,001,2021_Feb_18_1038,PruebaGabor1,2020.2.10,60.19125168309263,
"[-150, 0]",35,0,6,6,4,,,,,,,25.00275630000033,24.52001079999991,anto,001,2021_Feb_18_1038,PruebaGabor1,2020.2.10,60.19125168309263,
"[100, 0]",100,0,7,7,8,,,,,,,26.50029480000012,26.017979100000048,anto,001,2021_Feb_18_1038,PruebaGabor1,2020.2.10,60.19125168309263,
"[110, 0]",25,0,8,8,5,,,,,,,27.998203000000103,27.515440500000295,anto,001,2021_Feb_18_1038,PruebaGabor1,2020.2.10,60.19125168309263,
"[-100, 0]",120,0,9,9,7,,,,,,,29.49578139999994,29.01322379999965,anto,001,2021_Feb_18_1038,PruebaGabor1,2020.2.10,60.19125168309263,
"[-50, 0]",45,1,0,10,1,,,,,,,30.993511200000285,30.510824599999978,anto,001,2021_Feb_18_1038,PruebaGabor1,2020.2.10,60.19125168309263,
"[50, 0]",135,1,1,11,3,,,,,,,32.49112640000021,32.00863140000001,anto,001,2021_Feb_18_1038,PruebaGabor1,2020.2.10,60.19125168309263,
"[110, 0]",25,1,2,12,5,,,,,,,33.988761599999634,33.50639039999987,anto,001,2021_Feb_18_1038,PruebaGabor1,2020.2.10,60.19125168309263,
"[130, 0]",110,1,3,13,9,,,,,,,35.48668929999985,35.00384860000031,anto,001,2021_Feb_18_1038,PruebaGabor1,2020.2.10,60.19125168309263,
"[100, 0]",100,1,4,14,8,,,,,,,36.984001400000125,36.50154339999972,anto,001,2021_Feb_18_1038,PruebaGabor1,2020.2.10,60.19125168309263,
"[-110, 0]",15,1,5,15,6,,,,,,,38.48187779999989,37.999321500000406,anto,001,2021_Feb_18_1038,PruebaGabor1,2020.2.10,60.19125168309263,
"[0, 0]",90,1,6,16,2,,,,,,,39.97968789999959,39.49697269999979,anto,001,2021_Feb_18_1038,PruebaGabor1,2020.2.10,60.19125168309263,
"[150, 0]",0,1,7,17,0,,,,,,,41.477331899999626,40.99467689999983,anto,001,2021_Feb_18_1038,PruebaGabor1,2020.2.10,60.19125168309263,
"[-150, 0]",35,1,8,18,4,,,,,,,42.974825399999645,42.49240449999979,anto,001,2021_Feb_18_1038,PruebaGabor1,2020.2.10,60.19125168309263,
